Round,Name,Link,Spreadsheet,State,Solution,Meta
The Investigation,The Investigation,https://www.bookspace.world/puzzle/the-investigation/,https://docs.google.com/spreadsheets/d/1V56LSUDGUh0LypEebYXYiu4QgicI2T0lK80eAzX2nOQ/edit#gid=0,1,,1
The Investigation,"Ada Twist, Scientist",https://www.bookspace.world/puzzle/ada-twist-scientist/,https://docs.google.com/spreadsheets/d/1pJuBHN3pyg-6IwaNQl8GdmzZSZ0JWMBpuzlFpizrQHg/edit#gid=0,2,UPCYCLE,0
The Investigation,The Messy Room,https://www.bookspace.world/puzzle/the-messy-room/,https://docs.google.com/spreadsheets/d/15FN907Bdc5pkkR80MD0seq6jrtkat5U0Fi135T-dunE/edit#gid=0,1,,0
The Investigation,The Missing Piece,https://www.bookspace.world/puzzle/the-missing-piece/,https://docs.google.com/spreadsheets/d/1NN9to6ge8lDq_i1I7B1dNgk3Cg5E-rz8HG9nDUcshp8/edit#gid=0,2,STAPLER,0
The Investigation,My First ABC,https://www.bookspace.world/puzzle/my-first-abc/,https://docs.google.com/spreadsheets/d/12DPrYeJiZaE2-wlKT0OwaTWSnyvkYB1vpcTBEgwJZhI/edit#gid=0,2,KILO,0
The Investigation,The Neverending Story,https://www.bookspace.world/puzzle/the-neverending-story/,https://docs.google.com/spreadsheets/d/1fkDkDLyo7AaBu4V9vRSyuS4I5UZ4n647zC6G8FJ8SS8/edit#gid=0,1,,0
The Investigation,Peter Pan,https://www.bookspace.world/puzzle/peter-pan/,https://docs.google.com/spreadsheets/d/1wX8v0WCEHUABBnaZ_eneAbtaW5nqddNZjsdtT7xSdoY/edit#gid=0,2,BIRTHDAY,0
The Investigation,"Teach Us, Amelia Bedelia",https://www.bookspace.world/puzzle/teach-us-amelia-bedelia/,https://docs.google.com/spreadsheets/d/1Jm5sh92_-JRtGFG-dd4aTpO1hjZ9oPiQ3TokwB3omIw/edit#gid=0,2,NOLTE,0
The Investigation,Too Many Toys,https://www.bookspace.world/puzzle/too-many-toys/,https://docs.google.com/spreadsheets/d/1VjcDHkGBvZt6l8ltYiWhbQEfWRYRh9R5UBKjPoF52gg/edit#gid=0,2,LATHE,0
The Investigation,Where The Wild Things Are,https://www.bookspace.world/puzzle/where-the-wild-things-are/,https://docs.google.com/spreadsheets/d/11_S-ZIe_pa99rhQ77XttCQtSMIAOYBNywKfcDh7l0I8/edit#gid=0,1,,0
The Investigation,The Wonderful Wizard of Oz,https://www.bookspace.world/puzzle/the-wonderful-wizard-of-oz/,https://docs.google.com/spreadsheets/d/1a8TCBcd1UT4hcJuQ_hqlKb6KYopXCvG9Ef74s8tGIIw/edit#gid=0,2,ADDLE,0
The Ministry,Fruit Around,https://www.bookspace.world/puzzle/fruit-around/,,0,,1
The Ministry,The Ministry,https://www.bookspace.world/puzzle/the-ministry/,,0,,1
The Ministry,Billie Barker,https://www.bookspace.world/puzzle/billie-barker/,https://docs.google.com/spreadsheets/d/1exjW3TgCeM5FyW6O6KgKPHU2SBLVT62dA8B_shJw9og/edit#gid=0,0,,2
The Ministry,Danni Dewey,https://www.bookspace.world/puzzle/danni-dewey/,,0,,2
The Ministry,Herschel Hayden,https://www.bookspace.world/puzzle/herschel-hayden/,,0,,2
The Ministry,Alexei Lewis,https://www.bookspace.world/puzzle/alexei-lewis/,https://docs.google.com/spreadsheets/d/1z9P53rlDnan3ItgU1EzhHEynFhD-tOM3Xi6_sFutIKY/edit#gid=0,0,,2
The Ministry,Randy and Riley Rotch,https://www.bookspace.world/puzzle/randy-and-riley-rotch/,https://docs.google.com/spreadsheets/d/1-91MWPhn2PuQ8z__AMY0hsQ3jxCQAXy41m5fHoljuzY/edit#gid=0,0,,2
The Ministry,The Hobbit,https://www.bookspace.world/puzzle/the-hobbit/,,0,,0
The Ministry,The Boy with Two Heads,https://www.bookspace.world/puzzle/the-boy-with-two-heads/,,0,,0
The Ministry,Alice's Adventures in Wonderland,https://www.bookspace.world/puzzle/alices-adventures-in-wonderland/,,0,,0
The Ministry,Oxford Children's Dictionary,https://www.bookspace.world/puzzle/oxford-childrens-dictionary/,,0,,0
The Ministry,Pippi Långstrump/Pippi Longstocking,https://www.bookspace.world/puzzle/pippi-l%C3%A5ngstrump-pippi-longstocking/,,0,,0
The Ministry,Cemetary Boys,https://www.bookspace.world/puzzle/cemetary-boys/,,0,,0
The Ministry,A Wizard of Earthsea,https://www.bookspace.world/puzzle/a-wizard-of-earthsea/,,2,PARALLEL LINES,0
The Ministry,Go The F*** To Sleep,https://www.bookspace.world/puzzle/go-the-f-to-sleep/,,0,,0
The Ministry,Charlotte's Web,https://www.bookspace.world/puzzle/charlottes-web/,,0,,0
The Ministry,Your Name is a Song,https://www.bookspace.world/puzzle/your-name-is-a-song/,,0,,0
The Ministry,Harold and the Purple Crayon,https://www.bookspace.world/puzzle/harold-and-the-purple-crayon/,,0,,0
The Ministry,Sometime After Midnight,https://www.bookspace.world/puzzle/sometime-after-midnight/,,0,,0
The Ministry,Tikki Tikki Tembo,https://www.bookspace.world/puzzle/tikki-tikki-tembo/,,0,,0
The Ministry,Watership Down,https://www.bookspace.world/puzzle/watership-down/,,0,,0
The Ministry,The Adventures of Pinocchio,https://www.bookspace.world/puzzle/the-adventures-of-pinocchio/,,0,,0
The Ministry,Dinotopia,https://www.bookspace.world/puzzle/dinotopia/,,0,,0
The Ministry,Kid Start-up,https://www.bookspace.world/puzzle/kid-start-up/,,0,,0
The Ministry,The Last Olympian,https://www.bookspace.world/puzzle/the-last-olympian/,,0,,0
The Ministry,The Day You Begin,https://www.bookspace.world/puzzle/the-day-you-begin/,,0,,0
